Fa,Fs,beta,dim,isDynamic,isFock,mass2,massratio,order,rs,spin,Σw,Σw.err,μ,μ.err
-0.0,-0.0,40.0,3,false,false,1.0,1.0,201,1.0,2,0.11164200203379919,2.8511297496982404e-5,0.13666623304116488,7.997332295017453e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,310,1.0,2,-0.05399353205613695,0.0003135896996814959,0.01298238614217959,0.0006633814902301255
-0.0,-0.0,40.0,3,false,false,1.0,1.0,111,1.0,2,0.0,8.148023487204334e-11,0.0775257842353232,1.9757687062895537e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,103,1.0,2,0.0,8.148023487204334e-11,0.04874153344708092,1.3700918920047439e-5
-0.0,-0.0,40.0,3,false,false,1.0,1.0,130,1.0,2,0.0,8.148023487204334e-11,-0.0027463099162700223,0.00016867142136436109
-0.0,-0.0,40.0,3,false,false,1.0,1.0,211,1.0,2,0.017574985227394382,5.968278310829864e-5,-0.020031119414904628,0.00011011275468279218
-0.0,-0.0,40.0,3,false,false,1.0,1.0,220,1.0,2,-0.010761592596304548,0.000169050558254045,-0.013730038703793466,0.0005266319514206228
-0.0,-0.0,40.0,3,false,false,1.0,1.0,301,1.0,2,-0.27850665574823824,0.00013487293458528998,-0.02716740683841165,0.0002073452945427776
-0.0,-0.0,40.0,3,false,false,1.0,1.0,100,1.0,2,0.0,8.148023487204334e-11,0.613338213658589,0.00016825316513735715
-0.0,-0.0,40.0,3,false,false,1.25,1.0,121,1.0,2,0.0,8.148023487204334e-11,0.00044175450886823584,2.245799509108103e-5
-0.0,-0.0,40.0,3,false,false,1.25,1.0,400,1.0,2,0.08824906909740474,0.00022833545927801224,0.013855367738947574,0.000501609305699922
-0.0,-0.0,40.0,3,false,false,1.25,1.0,102,1.0,2,0.0,8.148023487204334e-11,0.09064066782278506,2.54399397311995e-5
-0.0,-0.0,40.0,3,false,false,1.25,1.0,110,1.0,2,0.0,8.148023487204334e-11,0.211189510367236,5.187085306769509e-5
-0.0,-0.0,40.0,3,false,false,1.25,1.0,200,1.0,2,0.06847613401926772,1.7647077604311045e-5,0.1961887361162666,0.00011430909942758064
-0.0,-0.0,40.0,3,false,false,1.25,1.0,112,1.0,2,0.0,8.148023487204334e-11,0.04108431149553578,1.0768053932841241e-5
-0.0,-0.0,40.0,3,false,false,1.25,1.0,202,1.0,2,0.09346791880698291,2.4214371477577234e-5,0.08495207480312919,5.6682717758576766e-5
-0.0,-0.0,40.0,3,false,false,1.25,1.0,210,1.0,2,0.012307533365673692,3.482227987908447e-5,0.026865808421440776,0.00011758029892199353
-0.0,-0.0,40.0,3,false,false,1.25,1.0,101,1.0,2,0.0,8.148023487204334e-11,0.19397853617597666,5.254271862798091e-5
-0.0,-0.0,40.0,3,false,false,1.25,1.0,300,1.0,2,-0.07121906678286291,4.318389801376026e-5,0.009773531177561655,0.00012970586838649206
-0.0,-0.0,40.0,3,false,false,1.25,1.0,120,1.0,2,0.0,8.148023487204334e-11,0.005166952955205316,6.194565484632077e-5
-0.0,-0.0,40.0,3,false,false,1.25,1.0,201,1.0,2,0.08638405483201922,2.202644195332427e-5,0.12753641219899117,7.089555522069522e-5
-0.0,-0.0,40.0,3,false,false,1.25,1.0,310,1.0,2,-0.0326641386422122,0.00021354693091602442,0.007011718224685793,0.0005006111305251575
-0.0,-0.0,40.0,3,false,false,1.25,1.0,111,1.0,2,0.0,8.148023487204334e-11,0.07630916364486727,1.906879365194496e-5
-0.0,-0.0,40.0,3,false,false,1.25,1.0,103,1.0,2,0.0,8.148023487204334e-11,0.05266081377622819,1.4537825374079123e-5
-0.0,-0.0,40.0,3,false,false,1.25,1.0,130,1.0,2,0.0,8.148023487204334e-11,-0.001803644223736066,0.00015622436652390416
-0.0,-0.0,40.0,3,false,false,1.25,1.0,211,1.0,2,0.013932226453883395,4.6339292966578166e-5,-0.009245992136118488,9.498520835843085e-5
-0.0,-0.0,40.0,3,false,false,1.25,1.0,220,1.0,2,-0.006925766642667097,0.0001249262251387946,-0.010110270063579705,0.00044065301189680364
-0.0,-0.0,40.0,3,false,false,1.25,1.0,301,1.0,2,-0.1684795514374258,8.858434922085833e-5,-0.013050520814669704,0.00015770039621340186
-0.0,-0.0,40.0,3,false,false,1.25,1.0,100,1.0,2,0.0,8.148023487204334e-11,0.5699824947668933,0.00015395009760327063
-0.0,-0.0,40.0,3,false,false,1.5,1.0,121,1.0,2,0.0,8.148023487204334e-11,0.0004671038745288425,2.200724426548952e-5
-0.0,-0.0,40.0,3,false,false,1.5,1.0,400,1.0,2,0.047063363580193286,0.00014835854692777758,0.00974354698502753,0.0003670675863932295
-0.0,-0.0,40.0,3,false,false,1.5,1.0,102,1.0,2,0.0,8.148023487204334e-11,0.09485707240289551,2.6178864517955686e-5
-0.0,-0.0,40.0,3,false,false,1.5,1.0,110,1.0,2,0.0,8.148023487204334e-11,0.19741352535177573,4.7714362146770604e-5
-0.0,-0.0,40.0,3,false,false,1.5,1.0,200,1.0,2,0.05432077909763657,1.4260448466811205e-5,0.17368379286773175,0.00010106375217903651
-0.0,-0.0,40.0,3,false,false,1.5,1.0,112,1.0,2,0.0,8.148023487204334e-11,0.0410163980890545,1.0620242138575722e-5
-0.0,-0.0,40.0,3,false,false,1.5,1.0,202,1.0,2,0.07623949070789685,1.9902893077117393e-5,0.08221054008624834,5.1450676462859026e-5
